contador,fecha,hora,temperatura_ambiente,temperatura_lata
42,20-6-2019,15:31:31,40.08,35.38
43,20-6-2019,15:31:33,40.08,35.44
44,20-6-2019,15:31:34,40.08,35.44
45,20-6-2019,15:31:36,40.08,35.44
46,20-6-2019,15:31:38,40.08,35.44
47,20-6-2019,15:31:40,40.08,35.44
48,20-6-2019,15:31:42,40.08,35.44
49,20-6-2019,15:31:43,40.08,35.44
50,20-6-2019,15:31:45,40.08,35.44
51,20-6-2019,15:31:47,39.59,35.44
52,20-6-2019,15:31:49,39.59,35.44
53,20-6-2019,15:31:51,39.59,35.44
54,20-6-2019,15:31:52,40.08,35.50
55,20-6-2019,15:31:54,39.59,35.50
56,20-6-2019,15:31:56,39.59,35.56
57,20-6-2019,15:31:58,39.59,35.56
58,20-6-2019,15:32:0,39.59,35.56
59,20-6-2019,15:32:1,40.08,35.56
60,20-6-2019,15:32:3,39.59,35.56
61,20-6-2019,15:32:5,39.59,35.56
62,20-6-2019,15:32:7,39.59,35.56
63,20-6-2019,15:32:9,39.59,35.63
64,20-6-2019,15:32:10,39.59,35.63
65,20-6-2019,15:32:12,39.59,35.63
66,20-6-2019,15:32:14,39.10,35.63
67,20-6-2019,15:32:16,39.10,35.63
68,20-6-2019,15:32:18,39.10,35.63
69,20-6-2019,15:32:20,39.10,35.63
70,20-6-2019,15:32:21,39.59,35.69
71,20-6-2019,15:32:23,39.10,35.69
72,20-6-2019,15:32:25,39.10,35.69
73,20-6-2019,15:32:27,39.10,35.69
74,20-6-2019,15:32:29,39.10,35.69
75,20-6-2019,15:32:30,39.10,35.69
76,20-6-2019,15:32:32,39.10,35.69
77,20-6-2019,15:32:34,39.59,35.75
78,20-6-2019,15:32:36,39.10,35.75
79,20-6-2019,15:32:38,39.59,35.75
80,20-6-2019,15:32:39,39.10,35.75
81,20-6-2019,15:32:41,39.59,35.75
82,20-6-2019,15:32:43,39.59,35.75
83,20-6-2019,15:32:45,39.59,35.75
84,20-6-2019,15:32:47,39.59,35.81
85,20-6-2019,15:32:48,39.59,35.81
86,20-6-2019,15:32:50,40.08,35.81
