contador,fecha,hora,temperatura
73,20-6-2019,15:32:27,34.88
74,20-6-2019,15:32:29,34.88
75,20-6-2019,15:32:30,34.88
76,20-6-2019,15:32:32,34.94
77,20-6-2019,15:32:34,34.94
78,20-6-2019,15:32:36,34.94
79,20-6-2019,15:32:38,34.94
80,20-6-2019,15:32:39,34.94
81,20-6-2019,15:32:41,34.94
82,20-6-2019,15:32:43,34.94
83,20-6-2019,15:32:45,34.94
84,20-6-2019,15:32:47,34.94
85,20-6-2019,15:32:48,35
86,20-6-2019,15:32:50,34.94
87,20-6-2019,15:32:52,34.94
88,20-6-2019,15:32:54,34.94
89,20-6-2019,15:32:56,34.94
90,20-6-2019,15:32:57,35
91,20-6-2019,15:32:59,35
92,20-6-2019,15:33:1,35
93,20-6-2019,15:33:3,35
94,20-6-2019,15:33:5,35
95,20-6-2019,15:33:6,35
96,20-6-2019,15:33:8,35
97,20-6-2019,15:33:10,35.06
98,20-6-2019,15:33:12,35.06
99,20-6-2019,15:33:14,35.06
100,20-6-2019,15:33:15,35.06
101,20-6-2019,15:33:17,35.06
102,20-6-2019,15:33:19,35.13
103,20-6-2019,15:33:21,35.13
104,20-6-2019,15:33:23,35.13
105,20-6-2019,15:33:24,35.06
106,20-6-2019,15:33:26,35.06
107,20-6-2019,15:33:28,35.06
108,20-6-2019,15:33:30,35.06
109,20-6-2019,15:33:32,35.13
110,20-6-2019,15:33:34,35.13
111,20-6-2019,15:33:35,35.13
112,20-6-2019,15:33:37,35.13
113,20-6-2019,15:33:39,35.13
114,20-6-2019,15:33:41,35.19
115,20-6-2019,15:33:43,35.19
116,20-6-2019,15:33:44,35.19
117,20-6-2019,15:33:46,35.19
118,20-6-2019,15:33:48,35.19
119,20-6-2019,15:33:50,35.25
120,20-6-2019,15:33:52,35.25
121,20-6-2019,15:33:53,35.25
122,20-6-2019,15:33:55,35.25
123,20-6-2019,15:33:57,35.25
124,20-6-2019,15:33:59,35.25
125,20-6-2019,15:34:1,35.25
126,20-6-2019,15:34:2,35.31
127,20-6-2019,15:34:4,35.31
128,20-6-2019,15:34:6,35.31
129,20-6-2019,15:34:8,35.31
130,20-6-2019,15:34:10,35.44
131,20-6-2019,15:34:11,35.56
132,20-6-2019,15:34:13,35.63
133,20-6-2019,15:34:15,35.63
134,20-6-2019,15:34:17,35.69
135,20-6-2019,15:34:19,35.69
136,20-6-2019,15:34:20,35.75
137,20-6-2019,15:34:22,35.75
138,20-6-2019,15:34:24,35.81
139,20-6-2019,15:34:26,35.81
140,20-6-2019,15:34:28,35.88
141,20-6-2019,15:34:30,35.88
142,20-6-2019,15:34:31,35.88
143,20-6-2019,15:34:33,35.88
144,20-6-2019,15:34:35,35.94
145,20-6-2019,15:34:37,35.94
146,20-6-2019,15:34:39,36
147,20-6-2019,15:34:40,36
148,20-6-2019,15:34:42,36
149,20-6-2019,15:34:44,36.06
150,20-6-2019,15:34:46,36.06
151,20-6-2019,15:34:48,36.13
152,20-6-2019,15:34:49,36.13
153,20-6-2019,15:34:51,36.19
154,20-6-2019,15:34:53,36.19
155,20-6-2019,15:34:55,36.25
156,20-6-2019,15:34:57,36.25
157,20-6-2019,15:34:58,36.31
158,20-6-2019,15:35:0,36.31
159,20-6-2019,15:35:2,36.31
160,20-6-2019,15:35:4,36.38
161,20-6-2019,15:35:6,36.38
162,20-6-2019,15:35:7,36.38
163,20-6-2019,15:35:9,36.44
164,20-6-2019,15:35:11,36.44
165,20-6-2019,15:35:13,36.44
166,20-6-2019,15:35:15,36.5
167,20-6-2019,15:35:16,36.5
168,20-6-2019,15:35:18,36.5
169,20-6-2019,15:35:20,36.56
170,20-6-2019,15:35:22,36.56
171,20-6-2019,15:35:24,36.63
172,20-6-2019,15:35:25,36.63
173,20-6-2019,15:35:27,36.63
174,20-6-2019,15:35:29,36.69
175,20-6-2019,15:35:31,36.69
176,20-6-2019,15:35:33,36.69
177,20-6-2019,15:35:34,36.69
178,20-6-2019,15:35:36,36.69
179,20-6-2019,15:35:38,36.75
180,20-6-2019,15:35:40,36.75
181,20-6-2019,15:35:42,36.75
182,20-6-2019,15:35:44,36.75
183,20-6-2019,15:35:45,36.75
184,20-6-2019,15:35:47,36.75
185,20-6-2019,15:35:49,36.75
186,20-6-2019,15:35:51,36.75
187,20-6-2019,15:35:53,36.75
188,20-6-2019,15:35:54,36.75
189,20-6-2019,15:35:56,36.75
190,20-6-2019,15:35:58,36.75
191,20-6-2019,15:36:0,36.81
192,20-6-2019,15:36:2,36.75
193,20-6-2019,15:36:3,36.75
194,20-6-2019,15:36:5,36.75
195,20-6-2019,15:36:7,36.75
196,20-6-2019,15:36:9,36.75
197,20-6-2019,15:36:11,36.75
198,20-6-2019,15:36:12,36.81
199,20-6-2019,15:36:14,36.81
200,20-6-2019,15:36:16,36.81
201,20-6-2019,15:36:18,36.81
202,20-6-2019,15:36:20,36.81
203,20-6-2019,15:36:21,36.81
204,20-6-2019,15:36:23,36.88
205,20-6-2019,15:36:25,36.88
206,20-6-2019,15:36:27,36.88
207,20-6-2019,15:36:29,36.88
208,20-6-2019,15:36:30,36.88
209,20-6-2019,15:36:32,36.88
210,20-6-2019,15:36:34,36.94
211,20-6-2019,15:36:36,36.94
212,20-6-2019,15:36:38,36.94
213,20-6-2019,15:36:39,36.94
214,20-6-2019,15:36:41,36.94
215,20-6-2019,15:36:43,36.94
216,20-6-2019,15:36:45,36.94
217,20-6-2019,15:36:47,36.94
218,20-6-2019,15:36:48,36.94
219,20-6-2019,15:36:50,36.94
220,20-6-2019,15:36:52,36.94
221,20-6-2019,15:36:54,36.94
222,20-6-2019,15:36:56,36.94
223,20-6-2019,15:36:58,37
224,20-6-2019,15:36:59,36.94
225,20-6-2019,15:37:1,36.94
226,20-6-2019,15:37:3,36.94
227,20-6-2019,15:37:5,36.94
228,20-6-2019,15:37:7,36.94
229,20-6-2019,15:37:8,36.88
230,20-6-2019,15:37:10,36.88
231,20-6-2019,15:37:12,36.88
232,20-6-2019,15:37:14,36.94
233,20-6-2019,15:37:16,36.88
234,20-6-2019,15:37:17,36.94
235,20-6-2019,15:37:19,36.94
236,20-6-2019,15:37:21,36.94
237,20-6-2019,15:37:23,36.94
238,20-6-2019,15:37:25,36.94
239,20-6-2019,15:37:26,36.94
240,20-6-2019,15:37:28,36.94
241,20-6-2019,15:37:30,36.94
242,20-6-2019,15:37:32,36.94
243,20-6-2019,15:37:34,37
244,20-6-2019,15:37:35,37
245,20-6-2019,15:37:37,37
246,20-6-2019,15:37:39,37
247,20-6-2019,15:37:41,37
248,20-6-2019,15:37:43,37
249,20-6-2019,15:37:44,37
250,20-6-2019,15:37:46,37
251,20-6-2019,15:37:48,37
252,20-6-2019,15:37:50,37
253,20-6-2019,15:37:52,37
254,20-6-2019,15:37:54,37.06
255,20-6-2019,15:37:55,37.06
256,20-6-2019,15:37:57,37.06
257,20-6-2019,15:37:59,37.06
258,20-6-2019,15:38:1,37.06
259,20-6-2019,15:38:3,37.06
260,20-6-2019,15:38:4,37.06
261,20-6-2019,15:38:6,37.06
262,20-6-2019,15:38:8,37.06
263,20-6-2019,15:38:10,37.06
264,20-6-2019,15:38:12,37.06
265,20-6-2019,15:38:13,37.06
266,20-6-2019,15:38:15,37.06
267,20-6-2019,15:38:17,37.06
268,20-6-2019,15:38:19,37.06
269,20-6-2019,15:38:21,37.06
270,20-6-2019,15:38:22,37
271,20-6-2019,15:38:24,37
272,20-6-2019,15:38:26,37
273,20-6-2019,15:38:28,37
274,20-6-2019,15:38:30,36.94
275,20-6-2019,15:38:31,36.94
276,20-6-2019,15:38:33,36.94
277,20-6-2019,15:38:35,36.94
278,20-6-2019,15:38:37,36.94
279,20-6-2019,15:38:39,36.94
280,20-6-2019,15:38:40,36.94
281,20-6-2019,15:38:42,36.88
282,20-6-2019,15:38:44,36.88
283,20-6-2019,15:38:46,36.88
284,20-6-2019,15:38:48,36.88
285,20-6-2019,15:38:49,36.88
286,20-6-2019,15:38:51,36.88
287,20-6-2019,15:38:53,36.88
288,20-6-2019,15:38:55,36.88
289,20-6-2019,15:38:57,36.94
290,20-6-2019,15:38:58,36.94
291,20-6-2019,15:39:0,37
292,20-6-2019,15:39:2,37
293,20-6-2019,15:39:4,37
294,20-6-2019,15:39:6,37.06
295,20-6-2019,15:39:8,37.06
296,20-6-2019,15:39:9,37.06
297,20-6-2019,15:39:11,37.06
298,20-6-2019,15:39:13,37.06
299,20-6-2019,15:39:15,37.13
